LINE,X,Y,LSYMB
1,-64998.27,6614677.72,101
1,-65048.27,6614677.72,101
1,-65098.27,6614677.72,101
1,-65148.27,6614677.72,101
1,-65198.27,6614677.72,101
1,-65248.27,6614677.72,101
1,-65298.27,6614677.72,101
1,-65348.27,6614677.72,101
1,-65398.27,6614677.72,101
1,-65448.27,6614677.72,101
1,-65498.27,6614677.72,101
1,-65548.27,6614677.72,101
1,-65598.27,6614677.72,101
1,-65648.27,6614677.72,101
1,-65698.27,6614677.72,101
1,-65748.27,6614677.72,101
1,-65798.27,6614677.72,101
1,-65848.27,6614677.72,101
1,-65898.27,6614677.72,101
1,-65948.27,6614677.72,101
1,-65998.27,6614677.72,101
1,-66048.27,6614677.72,101
1,-66098.27,6614677.72,101
1,-66148.27,6614677.72,101
1,-66198.27,6614677.72,101
1,-66248.27,6614677.72,101
1,-66298.27,6614677.72,101
1,-66348.27,6614677.72,101
1,-66398.27,6614677.72,101
1,-66448.27,6614677.72,101
1,-66498.27,6614677.72,101
1,-66548.27,6614677.72,101
1,-66598.27,6614677.72,101
1,-66648.27,6614677.72,101
1,-66698.27,6614677.72,101
1,-66748.27,6614677.72,101
1,-66798.27,6614677.72,101
1,-66848.27,6614677.72,101
1,-66898.27,6614677.72,101
1,-66948.27,6614677.72,101
1,-66998.27,6614677.72,101
1,-67048.27,6614677.72,101
1,-67098.27,6614677.72,101
1,-67148.27,6614677.72,101
1,-67198.27,6614677.72,101
1,-67248.27,6614677.72,101
1,-67298.27,6614677.72,101
1,-67348.27,6614677.72,101
1,-67398.27,6614677.72,101
1,-67448.27,6614677.72,101
1,-67498.27,6614677.72,101
1,-67548.27,6614677.72,101
1,-67598.27,6614677.72,101
1,-67648.27,6614677.72,101
1,-67698.27,6614677.72,101
1,-67748.27,6614677.72,101
1,-67798.27,6614677.72,101
1,-67848.27,6614677.72,101
1,-67898.27,6614677.72,101
1,-67948.27,6614677.72,101
1,-67998.27,6614677.72,101
