LINE,X,Y,LSYMB
1,-69845.20,6611811.36,101
1,-69880.55,6611846.72,101
1,-69915.91,6611882.07,101
1,-69951.26,6611917.43,101
1,-69986.62,6611952.78,101
1,-70021.98,6611988.14,101
1,-70057.33,6612023.49,101
1,-70092.69,6612058.85,101
1,-70128.04,6612094.20,101
1,-70163.40,6612129.56,101
1,-70198.75,6612164.92,101
1,-70234.11,6612200.27,101
1,-70269.46,6612235.63,101
1,-70304.82,6612270.98,101
1,-70340.17,6612306.34,101
1,-70375.53,6612341.69,101
1,-70410.88,6612377.05,101
1,-70446.24,6612412.40,101
1,-70481.59,6612447.76,101
1,-70516.95,6612483.11,101
1,-70552.31,6612518.47,101
1,-70587.66,6612553.82,101
1,-70623.02,6612589.18,101
1,-70658.37,6612624.53,101
1,-70693.73,6612659.89,101
1,-70729.08,6612695.25,101
1,-70764.44,6612730.60,101
1,-70799.79,6612765.96,101
1,-70835.15,6612801.31,101
1,-70870.50,6612836.67,101
1,-70905.86,6612872.02,101
1,-70941.21,6612907.38,101
1,-70976.57,6612942.73,101
1,-71011.92,6612978.09,101
1,-71047.28,6613013.44,101
1,-71082.64,6613048.80,101
1,-71117.99,6613084.15,101
1,-71153.35,6613119.51,101
1,-71188.70,6613154.86,101
1,-71224.06,6613190.22,101
1,-71259.41,6613225.58,101
1,-71294.77,6613260.93,101
1,-71330.12,6613296.29,101
1,-71365.48,6613331.64,101
1,-71400.83,6613367.00,101
1,-71436.19,6613402.35,101
1,-71471.54,6613437.71,101
1,-71506.90,6613473.06,101
1,-71542.25,6613508.42,101
1,-71577.61,6613543.77,101
1,-71612.97,6613579.13,101
1,-71648.32,6613614.48,101
1,-71683.68,6613649.84,101
1,-71719.03,6613685.19,101
1,-71754.39,6613720.55,101
1,-71789.74,6613755.91,101
1,-71825.10,6613791.26,101
1,-71860.45,6613826.62,101
1,-71895.81,6613861.97,101
1,-71931.16,6613897.33,101
1,-71966.52,6613932.68,101
1,-72001.87,6613968.04,101
1,-72037.23,6614003.39,101
1,-72072.59,6614038.75,101
1,-72107.94,6614074.10,101
1,-72143.30,6614109.46,101
1,-72178.65,6614144.81,101
1,-72214.01,6614180.17,101
1,-72249.36,6614215.52,101
1,-72284.72,6614250.88,101
1,-72320.07,6614286.24,101
1,-72355.43,6614321.59,101
1,-72390.78,6614356.95,101
1,-72426.14,6614392.30,101
1,-72461.49,6614427.66,101
1,-72496.85,6614463.01,101
1,-72532.20,6614498.37,101
1,-72567.56,6614533.72,101
1,-72602.92,6614569.08,101
1,-72638.27,6614604.43,101
1,-72673.63,6614639.79,101
1,-72708.98,6614675.14,101
1,-72744.34,6614710.50,101
1,-72779.69,6614745.85,101
1,-72815.05,6614781.21,101
1,-72850.40,6614816.57,101
1,-72885.76,6614851.92,101
1,-72921.11,6614887.28,101
1,-72956.47,6614922.63,101
1,-72991.82,6614957.99,101
1,-73027.18,6614993.34,101
1,-73062.53,6615028.70,101
1,-73097.89,6615064.05,101
1,-73133.25,6615099.41,101
1,-73168.60,6615134.76,101
1,-73203.96,6615170.12,101
1,-73239.31,6615205.47,101
1,-73274.67,6615240.83,101
1,-73310.02,6615276.19,101
1,-73345.38,6615311.54,101
1,-73380.73,6615346.90,101
1,-73416.09,6615382.25,101
1,-73451.44,6615417.61,101
1,-73486.80,6615452.96,101
1,-73522.15,6615488.32,101
1,-73557.51,6615523.67,101
1,-73592.86,6615559.03,101
1,-73628.22,6615594.38,101
1,-73663.58,6615629.74,101
1,-73698.93,6615665.09,101
1,-73734.29,6615700.45,101
1,-73769.64,6615735.80,101
1,-73805.00,6615771.16,101
1,-73840.35,6615806.52,101
1,-73875.71,6615841.87,101
1,-73911.06,6615877.23,101
1,-73946.42,6615912.58,101
1,-73981.77,6615947.94,101
1,-74017.13,6615983.29,101
1,-74052.48,6616018.65,101
1,-74087.84,6616054.00,101
1,-74123.19,6616089.36,101
1,-74158.55,6616124.71,101
1,-74193.91,6616160.07,101
1,-74229.26,6616195.42,101
1,-74264.62,6616230.78,101
1,-74299.97,6616266.13,101
1,-74335.33,6616301.49,101
1,-74370.68,6616336.85,101
1,-74406.04,6616372.20,101
1,-74441.39,6616407.56,101
1,-74476.75,6616442.91,101
1,-74512.10,6616478.27,101
1,-74547.46,6616513.62,101
1,-74582.81,6616548.98,101
1,-74618.17,6616584.33,101
1,-74653.52,6616619.69,101
1,-74688.88,6616655.04,101
1,-74724.24,6616690.40,101
1,-74759.59,6616725.75,101
1,-74794.95,6616761.11,101
1,-74830.30,6616796.46,101
1,-74865.66,6616831.82,101
1,-74901.01,6616867.18,101
1,-74936.37,6616902.53,101
1,-74971.72,6616937.89,101
1,-75007.08,6616973.24,101
1,-75042.43,6617008.60,101
1,-75077.79,6617043.95,101
1,-75113.14,6617079.31,101
1,-75148.50,6617114.66,101
1,-75183.85,6617150.02,101
1,-75219.21,6617185.37,101
1,-75254.57,6617220.73,101
1,-75289.92,6617256.08,101
1,-75325.28,6617291.44,101
1,-75360.63,6617326.79,101
1,-75395.99,6617362.15,101
1,-75431.34,6617397.51,101
1,-75466.70,6617432.86,101
1,-75502.05,6617468.22,101
1,-75537.41,6617503.57,101
1,-75572.76,6617538.93,101
1,-75608.12,6617574.28,101
1,-75643.47,6617609.64,101
1,-75678.83,6617644.99,101
1,-75714.19,6617680.35,101
1,-75749.54,6617715.70,101
1,-75784.90,6617751.06,101
1,-75820.25,6617786.41,101
1,-75855.61,6617821.77,101
1,-75890.96,6617857.12,101
1,-75926.32,6617892.48,101
1,-75961.67,6617927.84,114
1,-75997.03,6617963.19,114
1,-76032.38,6617998.55,114
1,-76067.74,6618033.90,114
1,-76103.09,6618069.26,114
1,-76138.45,6618104.61,114
1,-76173.80,6618139.97,114
1,-76209.16,6618175.32,114
1,-76244.52,6618210.68,114
1,-76279.87,6618246.03,114
1,-76315.23,6618281.39,114
1,-76350.58,6618316.74,114
1,-76385.94,6618352.10,114
1,-76421.29,6618387.45,114
1,-76456.65,6618422.81,114
1,-76492.00,6618458.17,114
1,-76527.36,6618493.52,114
1,-76562.71,6618528.88,114
1,-76598.07,6618564.23,114
1,-76633.42,6618599.59,114
1,-76668.78,6618634.94,114
1,-76704.13,6618670.30,114
1,-76739.49,6618705.65,114
1,-76774.85,6618741.01,114
