LINE,X,Y,LSYMB
1,-82628.86,6618997.97,101
1,-82580.57,6619010.91,101
1,-82532.27,6619023.85,101
1,-82483.98,6619036.79,101
1,-82435.68,6619049.73,101
1,-82387.38,6619062.67,101
1,-82339.09,6619075.61,101
1,-82290.79,6619088.55,101
1,-82242.49,6619101.49,101
1,-82194.2,6619114.43,101
1,-82145.9,6619127.37,101
1,-82097.61,6619140.32,101
1,-82049.31,6619153.26,101
1,-82001.01,6619166.2,101
1,-81952.72,6619179.14,101
1,-81904.42,6619192.08,101
1,-81856.12,6619205.02,101
1,-81807.83,6619217.96,101
1,-81759.53,6619230.9,101
1,-81711.23,6619243.84,101
1,-81662.94,6619256.78,101
1,-81614.64,6619269.73,101
1,-81566.35,6619282.67,101
1,-81518.05,6619295.61,101
1,-81469.75,6619308.55,101
1,-81421.46,6619321.49,101
1,-81373.16,6619334.43,101
1,-81324.86,6619347.37,101
1,-81276.57,6619360.31,101
1,-81228.27,6619373.25,101
1,-81179.98,6619386.19,101
1,-81131.68,6619399.13,101
1,-81083.38,6619412.08,101
1,-81035.09,6619425.02,101
1,-80986.79,6619437.96,101
1,-80938.49,6619450.9,101
1,-80890.2,6619463.84,101
1,-80841.9,6619476.78,101
1,-80793.61,6619489.72,101
1,-80745.31,6619502.66,101
1,-80697.01,6619515.6,101
1,-80648.72,6619528.54,101
1,-80600.42,6619541.49,101
1,-80552.12,6619554.43,101
1,-80503.83,6619567.37,101
1,-80455.53,6619580.31,101
1,-80407.23,6619593.25,101
1,-80358.94,6619606.19,101
1,-80310.64,6619619.13,101
1,-80262.35,6619632.07,101
1,-80214.05,6619645.01,101
1,-80165.75,6619657.95,101
1,-80117.46,6619670.89,101
1,-80069.16,6619683.84,101
1,-80020.86,6619696.78,101
1,-79972.57,6619709.72,101
1,-79924.27,6619722.66,101
1,-79875.98,6619735.6,101
1,-79827.68,6619748.54,101
1,-79779.38,6619761.48,101
1,-79731.09,6619774.42,101
1,-79682.79,6619787.36,101
1,-79634.49,6619800.3,101
1,-79586.2,6619813.25,101
1,-79537.9,6619826.19,101
1,-79489.61,6619839.13,101
1,-79441.31,6619852.07,101
1,-79393.01,6619865.01,101
1,-79344.72,6619877.95,101
1,-79296.42,6619890.89,101
1,-79248.12,6619903.83,101
1,-79199.83,6619916.77,101
1,-79151.53,6619929.71,101
1,-79103.24,6619942.65,101
1,-79054.94,6619955.6,101
1,-79006.64,6619968.54,101
1,-78958.35,6619981.48,101
1,-78910.05,6619994.42,101
1,-78861.75,6620007.36,101
1,-78813.46,6620020.3,101
1,-78765.16,6620033.24,101
1,-78716.86,6620046.18,101
1,-78668.57,6620059.12,101
1,-78620.27,6620072.06,101
1,-78571.98,6620085.01,101
1,-78523.68,6620097.95,101
1,-78475.38,6620110.89,101
1,-78427.09,6620123.83,101
1,-78378.79,6620136.77,101
1,-78330.49,6620149.71,101
1,-78282.2,6620162.65,101
1,-78233.9,6620175.59,101
1,-78185.61,6620188.53,101
1,-78137.31,6620201.47,101
1,-78089.01,6620214.41,101
1,-78040.72,6620227.36,101
1,-77992.42,6620240.3,101
1,-77944.12,6620253.24,101
1,-77895.83,6620266.18,101
1,-77847.53,6620279.12,101
1,-77799.24,6620292.06,101
1,-77750.94,6620305,101
1,-77702.64,6620317.94,101
1,-77654.35,6620330.88,101
1,-77606.05,6620343.82,101
1,-77557.75,6620356.77,101
1,-77509.46,6620369.71,101
1,-77461.16,6620382.65,101
1,-77412.86,6620395.59,101
1,-77364.57,6620408.53,101
1,-77316.27,6620421.47,101
1,-77267.98,6620434.41,101
1,-77219.68,6620447.35,101
1,-77171.38,6620460.29,101
1,-77123.09,6620473.23,101
1,-77074.79,6620486.17,101
1,-77026.49,6620499.12,101
1,-76978.2,6620512.06,101
1,-76929.9,6620525,101
