LNUM,X,Y,LSYMB
1,-76393.9,6.61104e+06,101
1,-76394.1,6.61109e+06,101
1,-76394.3,6.61114e+06,101
1,-76394.5,6.61119e+06,101
1,-76394.6,6.61124e+06,101
1,-76394.8,6.61129e+06,101
1,-76395,6.61134e+06,101
1,-76395.2,6.61139e+06,101
1,-76395.4,6.61144e+06,101
1,-76395.6,6.61149e+06,101
1,-76395.8,6.61154e+06,101
1,-76396,6.61159e+06,101
1,-76396.2,6.61164e+06,101
1,-76396.4,6.61169e+06,101
1,-76396.6,6.61174e+06,101
1,-76396.8,6.61179e+06,101
1,-76397,6.61184e+06,101
1,-76397.2,6.61189e+06,101
1,-76397.4,6.61194e+06,101
1,-76397.5,6.61199e+06,101
1,-76397.7,6.61204e+06,101
1,-76397.9,6.61209e+06,101
1,-76398.1,6.61214e+06,101
1,-76398.3,6.61219e+06,101
1,-76398.5,6.61224e+06,101
1,-76398.7,6.61229e+06,101
1,-76398.9,6.61234e+06,101
1,-76399.1,6.61239e+06,101
1,-76399.3,6.61244e+06,101
1,-76399.5,6.61249e+06,101
1,-76399.7,6.61254e+06,101
1,-76399.9,6.61259e+06,101
1,-76400.1,6.61264e+06,101
1,-76400.3,6.61269e+06,101
1,-76400.4,6.61274e+06,101
1,-76400.6,6.61279e+06,101
1,-76400.8,6.61284e+06,101
1,-76401,6.61289e+06,101
1,-76401.2,6.61294e+06,101
1,-76401.4,6.61299e+06,101
1,-76401.6,6.61304e+06,101
1,-76401.8,6.61309e+06,101
1,-76402,6.61314e+06,101
1,-76402.2,6.61319e+06,101
1,-76402.4,6.61324e+06,101
1,-76402.6,6.61329e+06,101
1,-76402.8,6.61334e+06,101
1,-76403,6.61339e+06,101
1,-76403.1,6.61344e+06,101
1,-76403.3,6.61349e+06,101
1,-76403.5,6.61354e+06,101
1,-76403.7,6.61359e+06,101
1,-76403.9,6.61364e+06,101
1,-76404.1,6.61369e+06,101
1,-76404.3,6.61374e+06,101
1,-76404.5,6.61379e+06,101
1,-76404.7,6.61384e+06,101
1,-76404.9,6.61389e+06,101
1,-76405.1,6.61394e+06,101
1,-76405.3,6.61399e+06,101
1,-76405.5,6.61404e+06,101
1,-76405.7,6.61409e+06,101
1,-76405.9,6.61414e+06,101
1,-76406,6.61419e+06,101
1,-76406.2,6.61424e+06,101
1,-76406.4,6.61429e+06,101
1,-76406.6,6.61434e+06,101
1,-76406.8,6.61439e+06,101
1,-76407,6.61444e+06,101
1,-76407.2,6.61449e+06,101
1,-76407.4,6.61454e+06,101
1,-76407.6,6.61459e+06,101
1,-76407.8,6.61464e+06,101
1,-76408,6.61469e+06,101
1,-76408.2,6.61474e+06,101
1,-76408.4,6.61479e+06,101
1,-76408.6,6.61484e+06,101
1,-76408.8,6.61489e+06,101
1,-76408.9,6.61494e+06,101
1,-76409.1,6.61499e+06,101
1,-76409.3,6.61504e+06,101
1,-76409.5,6.61509e+06,101
1,-76409.7,6.61514e+06,101
1,-76409.9,6.61519e+06,101
1,-76410.1,6.61524e+06,101
1,-76410.3,6.61529e+06,101
1,-76410.5,6.61534e+06,101
1,-76410.7,6.61539e+06,101
1,-76410.9,6.61544e+06,101
1,-76411.1,6.61549e+06,101
1,-76411.3,6.61554e+06,101
1,-76411.5,6.61559e+06,101
1,-76411.7,6.61564e+06,101
1,-76411.8,6.61569e+06,101
1,-76412,6.61574e+06,101
1,-76412.2,6.61579e+06,101
1,-76412.4,6.61584e+06,101
1,-76412.6,6.61589e+06,101
1,-76412.8,6.61594e+06,101
1,-76413,6.61599e+06,101
1,-76413.2,6.61604e+06,101
1,-76413.4,6.61609e+06,101
1,-76413.6,6.61614e+06,101
1,-76413.8,6.61619e+06,101
1,-76414,6.61624e+06,101
1,-76414.2,6.61629e+06,101
1,-76414.4,6.61634e+06,101
1,-76414.6,6.61639e+06,101
1,-76414.7,6.61644e+06,101
1,-76414.9,6.61649e+06,101
1,-76415.1,6.61654e+06,101
1,-76415.3,6.61659e+06,101
1,-76415.5,6.61664e+06,101
1,-76415.7,6.61669e+06,101
1,-76415.9,6.61674e+06,101
1,-76416.1,6.61679e+06,101
1,-76416.3,6.61684e+06,101
1,-76416.5,6.61689e+06,101
1,-76416.7,6.61694e+06,101
1,-76416.9,6.61699e+06,101
1,-76417.1,6.61704e+06,101
1,-76417.3,6.61709e+06,101
1,-76417.5,6.61714e+06,101
1,-76417.6,6.61719e+06,101
1,-76417.8,6.61724e+06,101
1,-76418,6.61729e+06,101
1,-76418.2,6.61734e+06,101
1,-76418.4,6.61739e+06,101
1,-76418.6,6.61744e+06,101
1,-76418.8,6.61749e+06,101
1,-76419,6.61754e+06,101
1,-76419.2,6.61759e+06,101
1,-76419.4,6.61764e+06,101
1,-76419.6,6.61769e+06,101
1,-76419.8,6.61774e+06,101
1,-76420,6.61779e+06,101
1,-76420.2,6.61784e+06,101
1,-76420.3,6.61789e+06,101
1,-76420.5,6.61794e+06,101
1,-76420.7,6.61799e+06,101
1,-76420.9,6.61804e+06,101
1,-76421.1,6.61809e+06,101
1,-76421.3,6.61814e+06,101
1,-76421.5,6.61819e+06,101
1,-76421.7,6.61824e+06,101
1,-76421.9,6.61829e+06,101
1,-76422.1,6.61834e+06,101
1,-76422.3,6.61839e+06,101
1,-76422.5,6.61844e+06,101
1,-76422.7,6.61849e+06,101
1,-76422.9,6.61854e+06,101
1,-76423.1,6.61859e+06,101
1,-76423.2,6.61864e+06,101
1,-76423.4,6.61869e+06,101
1,-76423.6,6.61874e+06,101
1,-76423.8,6.61879e+06,101
1,-76424,6.61884e+06,101
1,-76424.2,6.61889e+06,101
1,-76424.4,6.61894e+06,101
