Line,XCo_m,YCo_m
9270,789050.071,1918342.116
9270,789050.034,1918348.424
9270,789049.997,1918354.732
9270,789049.96,1918361.04
9270,789049.889,1918367.343
9270,789049.818,1918373.646
9270,789049.747,1918379.949
9270,789049.676,1918386.252
9270,789049.605,1918392.555
9270,789049.534,1918398.858
9270,789049.463,1918405.161
9270,789049.392,1918411.464
9270,789049.321,1918417.767
9270,789049.25,1918424.07
9270,789049.131,1918430.374
9270,789049.012,1918436.678
9270,789048.893,1918442.982
9270,789048.774,1918449.286
9270,789048.655,1918455.59
9270,789048.536,1918461.894
9270,789048.417,1918468.198
9270,789048.298,1918474.502
9270,789048.179,1918480.806
9270,789048.06,1918487.11
9270,789047.871,1918493.409
9270,789047.682,1918499.708
9270,789047.493,1918506.007
9270,789047.304,1918512.306
9270,789047.115,1918518.605
9270,789046.926,1918524.904
9270,789046.737,1918531.203
9270,789046.548,1918537.502
9270,789046.359,1918543.801
9270,789046.17,1918550.1
9270,789045.938,1918556.392
9270,789045.706,1918562.684
9270,789045.474,1918568.976
9270,789045.242,1918575.268
9270,789045.01,1918581.56
9270,789044.778,1918587.852
9270,789044.546,1918594.144
9270,789044.314,1918600.436
9270,789044.082,1918606.728
9270,789043.85,1918613.02
9270,789043.597,1918619.294
9270,789043.344,1918625.568
9270,789043.091,1918631.842
9270,789042.838,1918638.116
9270,789042.585,1918644.39
9270,789042.332,1918650.664
9270,789042.079,1918656.938
9270,789041.826,1918663.212
9270,789041.573,1918669.486
9270,789041.32,1918675.76
9270,789041.06,1918682.017
9270,789040.8,1918688.274
9270,789040.54,1918694.531
9270,789040.28,1918700.788
9270,789040.02,1918707.045
9270,789039.76,1918713.302
9270,789039.5,1918719.559
9270,789039.24,1918725.816
9270,789038.98,1918732.073
9270,789038.72,1918738.33
9270,789038.447,1918744.568
9270,789038.174,1918750.806
9270,789037.901,1918757.044
9270,789037.628,1918763.282
9270,789037.355,1918769.52
9270,789037.082,1918775.758
9270,789036.809,1918781.996
9270,789036.536,1918788.234
9270,789036.263,1918794.472
9270,789035.99,1918800.71
9270,789035.702,1918806.935
9270,789035.414,1918813.16
9270,789035.126,1918819.385
9270,789034.838,1918825.61
9270,789034.55,1918831.835
9270,789034.262,1918838.06
9270,789033.974,1918844.285
9270,789033.686,1918850.51
9270,789033.398,1918856.735
9270,789033.11,1918862.96
9270,789032.823,1918869.179
9270,789032.536,1918875.398
9270,789032.249,1918881.617
9270,789031.962,1918887.836
9270,789031.675,1918894.055
9270,789031.388,1918900.274
9270,789031.101,1918906.493
9270,789030.814,1918912.712
9270,789030.527,1918918.931
9270,789030.24,1918925.15
9270,789029.962,1918931.365
9270,789029.684,1918937.58
9270,789029.406,1918943.795
9270,789029.128,1918950.01
9270,789028.85,1918956.225
9270,789028.572,1918962.44
9270,789028.294,1918968.655
9270,789028.016,1918974.87
9270,789027.738,1918981.085
9270,789027.46,1918987.3
9270,789027.217,1918993.511
9270,789026.974,1918999.722
9270,789026.731,1919005.933
9270,789026.488,1919012.144
9270,789026.245,1919018.355
9270,789026.002,1919024.566
9270,789025.759,1919030.777
9270,789025.516,1919036.988
9270,789025.273,1919043.199
9270,789025.03,1919049.41
9270,789024.824,1919055.616
9270,789024.618,1919061.822
9270,789024.412,1919068.028
9270,789024.206,1919074.234
9270,789024,1919080.44
9270,789023.794,1919086.646
9270,789023.588,1919092.852
9270,789023.382,1919099.058
9270,789023.176,1919105.264
9270,789022.97,1919111.47
9270,789022.781,1919117.669
9270,789022.592,1919123.868
9270,789022.403,1919130.067
9270,789022.214,1919136.266
9270,789022.025,1919142.465
9270,789021.836,1919148.664
9270,789021.647,1919154.863
9270,789021.458,1919161.062
9270,789021.269,1919167.261
9270,789021.08,1919173.46
9270,789020.885,1919179.648
9270,789020.69,1919185.836
9270,789020.495,1919192.024
9270,789020.3,1919198.212
9270,789020.105,1919204.4
9270,789019.91,1919210.588
9270,789019.715,1919216.776
9270,789019.52,1919222.964
9270,789019.325,1919229.152
9270,789019.13,1919235.34
9270,789018.928,1919241.52
9270,789018.726,1919247.7
9270,789018.524,1919253.88
9270,789018.322,1919260.06
9270,789018.12,1919266.24
9270,789017.918,1919272.42
9270,789017.716,1919278.6
9270,789017.514,1919284.78
9270,789017.312,1919290.96
9270,789017.11,1919297.14
9270,789016.911,1919303.312
9270,789016.712,1919309.484
9270,789016.513,1919315.656
9270,789016.314,1919321.828
9270,789016.115,1919328
9270,789015.916,1919334.172
9270,789015.717,1919340.344
9270,789015.518,1919346.516
9270,789015.319,1919352.688
9270,789015.12,1919358.86
9270,789014.935,1919365.032
9270,789014.75,1919371.204
9270,789014.565,1919377.376
9270,789014.38,1919383.548
9270,789014.195,1919389.72
9270,789014.01,1919395.892
9270,789013.825,1919402.064
9270,789013.64,1919408.236
9270,789013.455,1919414.408
9270,789013.27,1919420.58
9270,789013.105,1919426.756
9270,789012.94,1919432.932
9270,789012.775,1919439.108
9270,789012.61,1919445.284
9270,789012.445,1919451.46
9270,789012.28,1919457.636
9270,789012.115,1919463.812
9270,789011.95,1919469.988
9270,789011.785,1919476.164
9270,789011.62,1919482.34
9270,789011.471,1919488.524
9270,789011.322,1919494.708
9270,789011.173,1919500.892
9270,789011.024,1919507.076
9270,789010.875,1919513.26
9270,789010.726,1919519.444
9270,789010.577,1919525.628
9270,789010.428,1919531.812
9270,789010.279,1919537.996
9270,789010.13,1919544.18
9270,789009.985,1919550.365
9270,789009.84,1919556.55
9270,789009.695,1919562.735
9270,789009.55,1919568.92
9270,789009.405,1919575.105
9270,789009.26,1919581.29
9270,789009.115,1919587.475
9270,789008.97,1919593.66
9270,789008.825,1919599.845
9270,789008.68,1919606.03
9270,789008.561,1919612.214
9270,789008.442,1919618.398
9270,789008.323,1919624.582
9270,789008.204,1919630.766
9270,789008.085,1919636.95
9270,789007.966,1919643.134
9270,789007.847,1919649.318
9270,789007.728,1919655.502
9270,789007.609,1919661.686
9270,789007.49,1919667.87
9270,789007.412,1919674.047
9270,789007.334,1919680.224
9270,789007.256,1919686.401
9270,789007.178,1919692.578
9270,789007.1,1919698.755
9270,789007.022,1919704.932
9270,789006.944,1919711.109
9270,789006.866,1919717.286
9270,789006.788,1919723.463
9270,789006.71,1919729.64
9270,789006.696,1919735.816
9270,789006.682,1919741.992
9270,789006.668,1919748.168
