LNUM,X,Y,LSYMB
1,-6.61438e+06,-90563.8,101
1,-6.61438e+06,-90613.8,101
1,-6.61438e+06,-90663.8,101
1,-6.61438e+06,-90713.8,101
1,-6.61438e+06,-90763.8,101
1,-6.61438e+06,-90813.8,101
1,-6.61438e+06,-90863.8,101
1,-6.61438e+06,-90913.8,101
1,-6.61438e+06,-90963.8,101
1,-6.61438e+06,-91013.8,101
1,-6.61437e+06,-91063.8,101
1,-6.61437e+06,-91113.8,101
1,-6.61437e+06,-91163.8,101
1,-6.61437e+06,-91213.8,101
1,-6.61437e+06,-91263.8,101
1,-6.61437e+06,-91313.8,101
1,-6.61437e+06,-91363.8,101
1,-6.61437e+06,-91413.8,101
1,-6.61437e+06,-91463.8,101
1,-6.61437e+06,-91513.8,101
1,-6.61437e+06,-91563.8,101
1,-6.61437e+06,-91613.8,101
1,-6.61437e+06,-91663.8,101
1,-6.61437e+06,-91713.8,101
1,-6.61437e+06,-91763.8,101
1,-6.61437e+06,-91813.8,101
1,-6.61437e+06,-91863.8,101
1,-6.61437e+06,-91913.8,101
1,-6.61437e+06,-91963.8,101
1,-6.61437e+06,-92013.8,101
1,-6.61437e+06,-92063.8,101
1,-6.61437e+06,-92113.8,101
1,-6.61437e+06,-92163.8,101
1,-6.61437e+06,-92213.8,101
1,-6.61437e+06,-92263.8,101
1,-6.61437e+06,-92313.8,101
1,-6.61437e+06,-92363.8,101
1,-6.61437e+06,-92413.8,101
1,-6.61437e+06,-92463.8,101
1,-6.61437e+06,-92513.8,101
1,-6.61437e+06,-92563.8,101
1,-6.61437e+06,-92613.8,101
1,-6.61437e+06,-92663.8,101
1,-6.61437e+06,-92713.8,101
1,-6.61437e+06,-92763.8,101
1,-6.61437e+06,-92813.8,101
1,-6.61437e+06,-92863.8,101
1,-6.61437e+06,-92913.8,101
1,-6.61437e+06,-92963.8,101
1,-6.61437e+06,-93013.8,101
1,-6.61437e+06,-93063.8,101
1,-6.61437e+06,-93113.8,101
1,-6.61437e+06,-93163.8,101
1,-6.61437e+06,-93213.8,101
1,-6.61437e+06,-93263.8,101
1,-6.61437e+06,-93313.8,101
1,-6.61437e+06,-93363.8,101
1,-6.61437e+06,-93413.8,101
1,-6.61437e+06,-93463.8,101
1,-6.61437e+06,-93513.8,101
1,-6.61437e+06,-93563.8,101
1,-6.61437e+06,-93613.8,101
1,-6.61436e+06,-93663.8,101
1,-6.61436e+06,-93713.8,101
1,-6.61436e+06,-93763.8,101
1,-6.61436e+06,-93813.8,101
1,-6.61436e+06,-93863.8,101
1,-6.61436e+06,-93913.8,101
1,-6.61436e+06,-93963.8,101
1,-6.61436e+06,-94013.8,101
1,-6.61436e+06,-94063.8,101
