LINE,X,Y,LSYMB
1,-71429.21,6618385.31,114
1,-71393.85,6618349.96,114
1,-71358.49,6618314.60,114
1,-71323.14,6618279.25,114
1,-71287.78,6618243.89,114
1,-71252.43,6618208.54,114
1,-71217.07,6618173.18,114
1,-71181.72,6618137.83,114
1,-71146.36,6618102.47,114
1,-71111.01,6618067.11,114
1,-71075.65,6618031.76,114
1,-71040.30,6617996.40,114
1,-71004.94,6617961.05,114
1,-70969.59,6617925.69,114
1,-70934.23,6617890.34,114
1,-70898.88,6617854.98,114
1,-70863.52,6617819.63,114
1,-70828.16,6617784.27,114
1,-70792.81,6617748.92,114
1,-70757.45,6617713.56,114
1,-70722.10,6617678.21,114
1,-70686.74,6617642.85,114
1,-70651.39,6617607.50,114
1,-70616.03,6617572.14,114
1,-70580.68,6617536.78,114
1,-70545.32,6617501.43,114
1,-70509.97,6617466.07,114
1,-70474.61,6617430.72,114
1,-70439.26,6617395.36,114
1,-70403.90,6617360.01,114
1,-70368.55,6617324.65,114
1,-70333.19,6617289.30,114
1,-70297.83,6617253.94,114
1,-70262.48,6617218.59,114
1,-70227.12,6617183.23,114
1,-70191.77,6617147.88,114
1,-70156.41,6617112.52,114
1,-70121.06,6617077.16,114
1,-70085.70,6617041.81,114
1,-70050.35,6617006.45,114
1,-70014.99,6616971.10,114
1,-69979.64,6616935.74,114
1,-69944.28,6616900.39,114
1,-69908.93,6616865.03,114
1,-69873.57,6616829.68,114
1,-69838.22,6616794.32,114
1,-69802.86,6616758.97,114
1,-69767.50,6616723.61,114
1,-69732.15,6616688.26,114
1,-69696.79,6616652.90,114
1,-69661.44,6616617.55,114
1,-69626.08,6616582.19,114
1,-69590.73,6616546.83,114
1,-69555.37,6616511.48,114
1,-69520.02,6616476.12,114
1,-69484.66,6616440.77,114
1,-69449.31,6616405.41,114
1,-69413.95,6616370.06,114
1,-69378.60,6616334.70,114
1,-69343.24,6616299.35,114
1,-69307.89,6616263.99,114
1,-69272.53,6616228.64,114
1,-69237.17,6616193.28,114
1,-69201.82,6616157.93,114
1,-69166.46,6616122.57,114
1,-69131.11,6616087.22,114
1,-69095.75,6616051.86,114
1,-69060.40,6616016.50,114
1,-69025.04,6615981.15,114
1,-68989.69,6615945.79,114
1,-68954.33,6615910.44,114
1,-68918.98,6615875.08,114
1,-68883.62,6615839.73,114
1,-68848.27,6615804.37,114
1,-68812.91,6615769.02,114
1,-68777.55,6615733.66,114
1,-68742.20,6615698.31,114
1,-68706.84,6615662.95,114
1,-68671.49,6615627.60,114
1,-68636.13,6615592.24,114
1,-68600.78,6615556.89,114
1,-68565.42,6615521.53,114
1,-68530.07,6615486.17,114
1,-68494.71,6615450.82,114
1,-68459.36,6615415.46,114
1,-68424.00,6615380.11,114
1,-68388.65,6615344.75,114
1,-68353.29,6615309.40,114
1,-68317.94,6615274.04,114
1,-68282.58,6615238.69,114
1,-68247.22,6615203.33,114
1,-68211.87,6615167.98,114
1,-68176.51,6615132.62,114
1,-68141.16,6615097.27,114
1,-68105.80,6615061.91,114
1,-68070.45,6615026.56,114
1,-68035.09,6614991.20,114
1,-67999.74,6614955.84,114
1,-67964.38,6614920.49,114
1,-67929.03,6614885.13,114
1,-67893.67,6614849.78,114
1,-67858.32,6614814.42,114
1,-67822.96,6614779.07,114
1,-67787.61,6614743.71,114
1,-67752.25,6614708.36,114
1,-67716.89,6614673.00,114
1,-67681.54,6614637.65,114
1,-67646.18,6614602.29,114
1,-67610.83,6614566.94,114
1,-67575.47,6614531.58,114
1,-67540.12,6614496.23,114
1,-67504.76,6614460.87,114
1,-67469.41,6614425.51,114
1,-67434.05,6614390.16,114
1,-67398.70,6614354.80,114
1,-67363.34,6614319.45,114
1,-67327.99,6614284.09,114
1,-67292.63,6614248.74,114
1,-67257.28,6614213.38,114
1,-67221.92,6614178.03,114
1,-67186.56,6614142.67,114
1,-67151.21,6614107.32,114
1,-67115.85,6614071.96,114
1,-67080.50,6614036.61,114
1,-67045.14,6614001.25,114
1,-67009.79,6613965.90,114
1,-66974.43,6613930.54,114
1,-66939.08,6613895.18,114
1,-66903.72,6613859.83,114
1,-66868.37,6613824.47,114
1,-66833.01,6613789.12,114
1,-66797.66,6613753.76,114
1,-66762.30,6613718.41,114
1,-66726.95,6613683.05,114
1,-66691.59,6613647.70,114
1,-66656.23,6613612.34,114
1,-66620.88,6613576.99,114
1,-66585.52,6613541.63,114
1,-66550.17,6613506.28,114
1,-66514.81,6613470.92,114
1,-66479.46,6613435.57,114
1,-66444.10,6613400.21,114
1,-66408.75,6613364.85,114
1,-66373.39,6613329.50,114
1,-66338.04,6613294.14,114
1,-66302.68,6613258.79,114
1,-66267.33,6613223.43,114
1,-66231.97,6613188.08,114
1,-66196.62,6613152.72,114
1,-66161.26,6613117.37,114
1,-66125.90,6613082.01,114
1,-66090.55,6613046.66,114
1,-66055.19,6613011.30,114
