LINE,X,Y,LSYMB
1,-76418.36,6611013.71,101
1,-76418.36,6611063.71,101
1,-76418.36,6611113.71,101
1,-76418.36,6611163.71,101
1,-76418.36,6611213.71,101
1,-76418.36,6611263.71,101
1,-76418.36,6611313.71,101
1,-76418.36,6611363.71,101
1,-76418.36,6611413.71,101
1,-76418.36,6611463.71,101
1,-76418.36,6611513.71,101
1,-76418.36,6611563.71,101
1,-76418.36,6611613.71,101
1,-76418.36,6611663.71,101
1,-76418.36,6611713.71,101
1,-76418.36,6611763.71,101
1,-76418.36,6611813.71,101
1,-76418.36,6611863.71,101
1,-76418.36,6611913.71,101
1,-76418.36,6611963.71,101
1,-76418.36,6612013.71,101
1,-76418.36,6612063.71,101
1,-76418.36,6612113.71,101
1,-76418.36,6612163.71,101
1,-76418.36,6612213.71,101
1,-76418.36,6612263.71,101
1,-76418.36,6612313.71,101
1,-76418.36,6612363.71,101
1,-76418.36,6612413.71,101
1,-76418.36,6612463.71,101
1,-76418.36,6612513.71,101
1,-76418.36,6612563.71,101
1,-76418.36,6612613.71,101
1,-76418.36,6612663.71,101
1,-76418.36,6612713.71,101
1,-76418.36,6612763.71,101
1,-76418.36,6612813.71,101
1,-76418.36,6612863.71,101
1,-76418.36,6612913.71,101
1,-76418.36,6612963.71,101
1,-76418.36,6613013.71,101
1,-76418.36,6613063.71,101
1,-76418.36,6613113.71,101
1,-76418.36,6613163.71,101
1,-76418.36,6613213.71,101
1,-76418.36,6613263.71,101
1,-76418.36,6613313.71,101
1,-76418.36,6613363.71,101
1,-76418.36,6613413.71,101
1,-76418.36,6613463.71,101
1,-76418.36,6613513.71,101
1,-76418.36,6613563.71,101
1,-76418.36,6613613.71,101
1,-76418.36,6613663.71,101
1,-76418.36,6613713.71,101
1,-76418.36,6613763.71,101
1,-76418.36,6613813.71,101
1,-76418.36,6613863.71,101
1,-76418.36,6613913.71,101
1,-76418.36,6613963.71,101
1,-76418.36,6614013.71,101
1,-76418.36,6614063.71,101
1,-76418.36,6614113.71,101
1,-76418.36,6614163.71,101
1,-76418.36,6614213.71,101
1,-76418.36,6614263.71,101
1,-76418.36,6614313.71,101
1,-76418.36,6614363.71,101
1,-76418.36,6614413.71,101
1,-76418.36,6614463.71,101
1,-76418.36,6614513.71,101
1,-76418.36,6614563.71,101
1,-76418.36,6614613.71,101
1,-76418.36,6614663.71,101
1,-76418.36,6614713.71,101
1,-76418.36,6614763.71,101
1,-76418.36,6614813.71,101
1,-76418.36,6614863.71,101
1,-76418.36,6614913.71,101
1,-76418.36,6614963.71,101
1,-76418.36,6615013.71,101
1,-76418.36,6615063.71,101
1,-76418.36,6615113.71,101
1,-76418.36,6615163.71,101
1,-76418.36,6615213.71,101
1,-76418.36,6615263.71,101
1,-76418.36,6615313.71,101
1,-76418.36,6615363.71,101
1,-76418.36,6615413.71,101
1,-76418.36,6615463.71,101
1,-76418.36,6615513.71,101
1,-76418.36,6615563.71,101
1,-76418.36,6615613.71,101
1,-76418.36,6615663.71,101
1,-76418.36,6615713.71,101
1,-76418.36,6615763.71,101
1,-76418.36,6615813.71,101
1,-76418.36,6615863.71,101
1,-76418.36,6615913.71,101
1,-76418.36,6615963.71,101
1,-76418.36,6616013.71,101
1,-76418.36,6616063.71,101
1,-76418.36,6616113.71,101
1,-76418.36,6616163.71,101
1,-76418.36,6616213.71,101
1,-76418.36,6616263.71,101
1,-76418.36,6616313.71,101
1,-76418.36,6616363.71,101
1,-76418.36,6616413.71,101
1,-76418.36,6616463.71,101
1,-76418.36,6616513.71,101
1,-76418.36,6616563.71,101
1,-76418.36,6616613.71,101
1,-76418.36,6616663.71,101
1,-76418.36,6616713.71,101
1,-76418.36,6616763.71,101
1,-76418.36,6616813.71,101
1,-76418.36,6616863.71,101
1,-76418.36,6616913.71,101
1,-76418.36,6616963.71,101
1,-76418.36,6617013.71,101
1,-76418.36,6617063.71,101
1,-76418.36,6617113.71,101
1,-76418.36,6617163.71,101
1,-76418.36,6617213.71,101
1,-76418.36,6617263.71,101
1,-76418.36,6617313.71,101
1,-76418.36,6617363.71,101
1,-76418.36,6617413.71,101
1,-76418.36,6617463.71,101
1,-76418.36,6617513.71,101
1,-76418.36,6617563.71,101
1,-76418.36,6617613.71,101
1,-76418.36,6617663.71,101
1,-76418.36,6617713.71,101
1,-76418.36,6617763.71,101
1,-76418.36,6617813.71,101
1,-76418.36,6617863.71,101
1,-76418.36,6617913.71,101
1,-76418.36,6617963.71,101
1,-76418.36,6618013.71,101
1,-76418.36,6618063.71,101
1,-76418.36,6618113.71,101
1,-76418.36,6618163.71,101
1,-76418.36,6618213.71,101
1,-76418.36,6618263.71,101
1,-76418.36,6618313.71,101
1,-76418.36,6618363.71,101
1,-76418.36,6618413.71,101
1,-76418.36,6618463.71,101
1,-76418.36,6618513.71,101
1,-76418.36,6618563.71,101
1,-76418.36,6618613.71,101
1,-76418.36,6618663.71,101
1,-76418.36,6618713.71,101
1,-76418.36,6618763.71,101
1,-76418.36,6618813.71,101
1,-76418.36,6618863.71,101
1,-76418.36,6618913.71,101
1,-76418.36,6618963.71,101
1,-76418.36,6619013.71,101
1,-76418.36,6619063.71,101
1,-76418.36,6619113.71,101
1,-76418.36,6619163.71,101
1,-76418.36,6619213.71,101
1,-76418.36,6619263.71,101
1,-76418.36,6619313.71,101
1,-76418.36,6619363.71,101
1,-76418.36,6619413.71,101
1,-76418.36,6619463.71,101
1,-76418.36,6619513.71,101
1,-76418.36,6619563.71,101
1,-76418.36,6619613.71,101
